Code,Name,Mentions,Latitude,Longitude
CYP,Cyprus,5335,35,33
SWZ,Swaziland,492,-26.5,31.5
ALB,Albania,1459,41,20
CMR,Cameroon,498,6,12
MCO,Monaco,307,43.7333,7.4
AGO,Angola,4648,-12.5,18.5
SVK,Slovakia,356,48.6667,19.5
SLE,Sierra Leone,1047,8.5,-11.5
SGP,Singapore,250,1.3667,103.8
CHL,Chile,2191,-30,-71
NIC,Nicaragua,2124,13,-85
BDI,Burundi,1703,-3.5,30
HUN,Hungary,513,47,20
RWA,Rwanda,1955,-2,30
CSK,Czechoslovakia,1478,Unknown Latitude,Unknown Longitude
GHA,Ghana,677,8,-2
SOM,Somalia,2895,10,49
PER,Peru,1160,-10,-76
FRA,France,2353,46,2
TLS,East Timor,1122,-8.55,125.5167
NRU,Nauru,416,-0.5333,166.9167
TUV,Tuvalu,532,-8,178
DNK,Denmark,559,56,10
ERI,Eritrea,853,15,39
SYR,Syria,4487,35,38
PHL,Philippines,581,13,122
TCD,Chad,2139,15,19
ZAF,South Africa,14463,-29,24
MLI,Mali,1341,17,-4
CIV,Côte dIvoire,0,8,-5
